pos,step,epoch,train_loss,val_loss
nope,100,0.72,0.9824174642562866,0.9259898503673366
nope,200,1.44,0.5493021607398987,0.49520753755072583
nope,300,2.16,0.15736764669418335,0.10471436231748066
nope,400,2.88,0.06329892575740814,0.029873539784130137
nope,500,3.6,0.032683368772268295,0.014365454847608695
nope,600,4.32,0.022053631022572517,0.012226316577375176
nope,700,5.04,0.014384710229933262,0.008680929437514681
nope,800,5.76,0.014684930443763733,0.009748350240522102
nope,900,6.48,0.008886325173079967,0.016547066052988484
nope,1000,7.21,0.0116099389269948,0.005847837922554713
nope,1100,7.93,0.013074596412479877,0.008558421105468644
nope,1200,8.65,0.021971838548779488,0.014316141908944171
nope,1300,9.37,0.007649699691683054,0.005273619232397991
nope,1400,10.09,0.009374469518661499,0.00515936615582849
nope,1500,10.81,0.007304247934371233,0.004786796038922919
nope,1600,11.53,0.006662997417151928,0.0041044543640550634
nope,1700,12.25,0.006234165746718645,0.0038359000713544646
nope,1800,12.97,0.00661864597350359,0.003399966105100009
nope,1900,13.69,0.005997114814817905,0.003627991641915487
nope,2000,14.41,0.00497928773984313,0.0032569999953521722
nope,2100,15.13,0.006231510080397129,0.0030397724299453316
nope,2200,15.85,0.0064261676743626595,0.0032080877780797427
nope,2300,16.57,0.00410121027380228,0.0030097473121258865
nope,2400,17.29,0.004856359213590622,0.002350316365975474
nope,2500,18.01,0.005238997749984264,0.002638088974047646
nope,2600,18.73,0.004244607407599688,0.002509894907258612
nope,2700,19.45,0.004927185829728842,0.002456899633022404
nope,2800,20.17,0.004447354003787041,0.0023662962873124164
nope,2900,20.9,0.004010707139968872,0.007042651972934455
nope,3000,21.62,0.003951066639274359,0.0019590996655678376
nope,3100,22.34,0.003465426154434681,0.0019961691994901725
nope,3200,23.06,0.0037695823702961206,0.002274544205213517
nope,3300,23.78,0.0034472986590117216,0.0024899865240917865
nope,3400,24.5,0.0037856372073292732,0.0020515747760172505
nope,3500,25.22,0.0038604869041591883,0.0019307821590526335
nope,3600,25.94,0.003136296523734927,0.0020953124718237903
nope,3700,26.66,0.002950177760794759,0.0021975938279757906
nope,3800,27.38,0.002835598075762391,0.0019248744015938207
nope,3900,28.1,0.003168741473928094,0.0018188801648638415
nope,4000,28.82,0.0036920947022736073,0.0026909319388307017
nope,4100,29.54,0.002417335519567132,0.0017304607871038693
nope,4200,30.26,0.0030216537415981293,0.0020386647836547157
nope,4300,30.98,0.0033763577230274677,0.0014552673710539609
nope,4400,31.7,0.0027842936106026173,0.0018213192459531583
nope,4500,32.42,0.0034628009889274836,0.0020678094988097573
nope,4600,33.14,0.0025908113457262516,0.0016296100593078799
nope,4700,33.86,0.003064072923734784,0.0016114795461545002
nope,4800,34.59,0.002654510084539652,0.0015434159475931671
nope,4900,35.31,0.0028345647733658552,0.0016285092962409272
nope,5000,36.03,0.0024267856497317553,0.0012957367771191382
nope,5100,36.75,0.0027696324978023767,0.001705930471764439
nope,5200,37.47,0.0022290132474154234,0.002011618635105561
nope,5300,38.19,0.0022336661349982023,0.001301107503497906
nope,5400,38.91,0.0027811836916953325,0.0017586882689661699
nope,5500,39.63,0.0019936019089072943,0.0015915974223425756
nope,5600,40.35,0.0021778838708996773,0.0020730237339785583
nope,5700,41.07,0.0017987762112170458,0.00207640313893085
nope,5800,41.79,0.0023310899268835783,0.001728873485722378
nope,5900,42.51,0.002131944987922907,0.0020992989587761738
nope,6000,43.23,0.0016892279963940382,0.001951834863088754
rope,100,0.72,0.8377019762992859,0.8197584310401177
rope,200,1.44,0.2636169195175171,0.2113765767772762
rope,300,2.16,0.05230804160237312,0.0331820269200064
rope,400,2.88,0.0322243757545948,0.01682967426931624
rope,500,3.6,0.03496476262807846,0.02409909569360327
rope,600,4.32,0.0154833709821105,0.012560953536668557
rope,700,5.04,0.012140915729105473,0.006958732996663032
rope,800,5.76,0.016701282933354378,0.008481956565257047
rope,900,6.48,0.00884480495005846,0.006491594916904019
rope,1000,7.21,0.008456289768218994,0.004179250253429631
rope,1100,7.93,0.007272869814187288,0.00581553065640788
rope,1200,8.65,0.008311410434544086,0.005739816650636647
rope,1300,9.37,0.007390374783426523,0.004024351955151692
rope,1400,10.09,0.005842122249305248,0.003326902242255801
rope,1500,10.81,0.006114293355494738,0.003015217777300716
rope,1600,11.53,0.005365277174860239,0.0034464249557784776
rope,1700,12.25,0.005660615861415863,0.004708570693382514
rope,1800,12.97,0.006674024276435375,0.0030588697081321004
rope,1900,13.69,0.00892542116343975,0.0026356933728397375
rope,2000,14.41,0.004310646094381809,0.0030366881115717003
rope,2100,15.13,0.00436879089102149,0.0020030153587622447
rope,2200,15.85,0.004279698245227337,0.002658265716912625
rope,2300,16.57,0.004153610672801733,0.002019378001755429
rope,2400,17.29,0.004574732389301062,0.002334803450772175
rope,2500,18.01,0.003846267703920603,0.0023377832511990997
rope,2600,18.73,0.0038588179741054773,0.0025940152831718734
rope,2700,19.45,0.0037933816201984882,0.002311916202229638
rope,2800,20.17,0.0044484930112957954,0.0019453271923558166
rope,2900,20.9,0.003527982858940959,0.0024971743147140153
rope,3000,21.62,0.004324586130678654,0.002455560146186023
rope,3100,22.34,0.0027579725719988346,0.0017990989486619947
rope,3200,23.06,0.003211664268746972,0.0019785721850011442
rope,3300,23.78,0.0034619078505784273,0.0024037955811617405
rope,3400,24.5,0.0029193030204623938,0.0016361239637155713
rope,3500,25.22,0.0032917459029704332,0.0019628180785321602
rope,3600,25.94,0.0024574310518801212,0.001970792429040102
rope,3700,26.66,0.0026165940798819065,0.002185666418596333
rope,3800,27.38,0.002628134097903967,0.0016683794643883028
rope,3900,28.1,0.0027713184244930744,0.0017197770477850967
rope,4000,28.82,0.003336838912218809,0.002654324995522393
rope,4100,29.54,0.002132984111085534,0.0017316319647218959
rope,4200,30.26,0.002356788143515587,0.002038963584464584
rope,4300,30.98,0.0028357079718261957,0.0015631086975607987
rope,4400,31.7,0.002303037326782942,0.0018840022741243411
rope,4500,32.42,0.002710392465814948,0.001889863434864369
rope,4600,33.14,0.002229373436421156,0.0018903929855347095
rope,4700,33.86,0.0024764176923781633,0.0018544913825248
rope,4800,34.59,0.0023958180099725723,0.0020074167227431424
rope,4900,35.31,0.002151322318241,0.001965240276752352
rope,5000,36.03,0.002081595826894045,0.0016542356979237548
rope,5100,36.75,0.002327447757124901,0.0022690304679464377
rope,5200,37.47,0.0019459020113572478,0.0020944874449701167
rope,5300,38.19,0.0017314107390120625,0.001542095992937682
rope,5400,38.91,0.0020761569030582905,0.002186249578869557
rope,5500,39.63,0.00160830351524055,0.0021280553939149838
rope,5600,40.35,0.001507829176262021,0.0022723620294449937
rope,5700,41.07,0.0013677862007170916,0.0026003738911572595
rope,5800,41.79,0.001437196391634643,0.002456875555453667
rope,5900,42.51,0.0016413419507443905,0.0024032540566411437
rope,6000,43.23,0.0012155340518802404,0.0026225362672205018
